"Common_Name","Domain","Phylum","Class","Order","Family","Genus","Species"
"Common redpoll","Eukaryota","Chordata","Aves","Passeriformes","Fringillidae","Acanthis","Acanthis flammea"
"Hoary redpoll","Eukaryota","Chordata","Aves","Passeriformes","Fringillidae","Acanthis","Acanthis hornemanni"
"Cooper's hawk","Eukaryota","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter cooperii"
"Northern goshawk","Eukaryota","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter gentilis"
"Sharp-shinned hawk","Eukaryota","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter striatus"
"Green sturgeon","Eukaryota","Chordata","Actinopterygii","Acipenseriformes","Acipenseridae","Acipenser","Acipenser medirostris"
"White sturgeon","Eukaryota","Chordata","Actinopterygii","Acipenseriformes","Acipenseridae","Acipenser","Acipenser transmontanus"
"Chiselmouth","Eukaryota","Chordata","Actinopterygii","Cypriniformes","Leuciscidae","Acrocheilus","Acrocheilus alutaceus"
"Western pond turtle","Eukaryota","Chordata","Reptilia","Testudines","Emydidae","Actinemys","Actinemys marmorata"
"Spotted sandpiper","Eukaryota","Chordata","Aves","Charadriiformes","Scolopacidae","Actitis","Actitis macularius"
"Clark's grebe","Eukaryota","Chordata","Aves","Podicipediformes","Podicipedidae","Aechmophorus","Aechmophorus clarkii"
"Western grebe","Eukaryota","Chordata","Aves","Podicipediformes","Podicipedidae","Aechmophorus","Aechmophorus occidentalis"
"Northern saw-whet owl","Eukaryota","Chordata","Aves","Strigiformes","Strigidae","Aegolius","Aegolius acadicus"
"Boreal owl","Eukaryota","Chordata","Aves","Strigiformes","Strigidae","Aegolius","Aegolius funereus"
"Hoary bat","Eukaryota","Chordata","Mammalia","Chiroptera","Vespertilionidae","Aeorestes","Aeorestes cinereus"
"White-throated swift","Eukaryota","Chordata","Aves","Apodiformes","Apodidae","Aeronautes","Aeronautes saxatalis"
"Parakeet auklet","Eukaryota","Chordata","Aves","Charadriiformes","Alcidae","Aethia","Aethia psittacula"
"Red-winged blackbird","Eukaryota","Chordata","Aves","Passeriformes","Icteridae","Agelaius","Agelaius phoeniceus"
"Tricolored blackbird","Eukaryota","Chordata","Aves","Passeriformes","Icteridae","Agelaius","Agelaius tricolor"
"Wood duck","Eukaryota","Chordata","Aves","Anseriformes","Anatidae","Aix","Aix sponsa"
"Eurasian skylark","Eukaryota","Chordata","Aves","Passeriformes","Alaudidae","Alauda","Alauda arvensis"
"Moose","Eukaryota","Chordata","Mammalia","Artiodactyla","Cervidae","Alces","Alces alces"
"Chukar","Eukaryota","Chordata","Aves","Galliformes","Phasianidae","Alectoris","Alectoris chukar"
"Whitebait smelt","Eukaryota","Chordata","Actinopterygii","Osmeriformes","Osmeridae","Allosmerus","Allosmerus elongatus"
"Common thresher shark","Eukaryota","Chordata","Chondrichthyes","Lamniformes","Alopiidae","Alopias","Alopias vulpinus"
"American shad","Eukaryota","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Alosa","Alosa sapidissima"
"Northwestern salamander","Eukaryota","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma gracile"
