Common_Name,Scientific_Name
Western pond turtle,Actinemys marmorata
Northwestern salamander,Ambystoma gracile
Long-toed salamander,Ambystoma macrodactylum
Western tiger salamander,Ambystoma mavortium
Western toad,Anaxyrus boreas
Woodhouse's toad,Anaxyrus woodhousii
Clouded salamander,Aneides ferreus
Klamath black salamander,Aneides klamathensis
Rocky Mountain tailed frog,Ascaphus montanus
Coastal tailed frog,Ascaphus truei
Western whiptail,Aspidoscelis tigris
Plateau striped whiptail,Aspidoscelis velox
California slender salamander,Batrachoseps attenuatus
Oregon slender salamander,Batrachoseps wrighti
Loggerhead turtle,Caretta caretta
Rubber boa,Charina bottae
Green turtle,Chelonia mydas
Common snapping turtle ,Chelydra serpentina
Painted turtle,Chrysemys picta
Eastern racer,Coluber constrictor
Sharptail snake,Contia tenuis
Northern Pacific rattlesnake,Crotalus oreganus
Great Basin collared lizard,Crotaphytus bicinctores
Leatherback turtle,Dermochelys coriacea
Ringneck snake,Diadophis punctatus
Cope's giant salamander,Dicamptodon copei
Coastal giant salamander,Dicamptodon tenebrosus
Northern alligator lizard,Elgaria coerulea
Southern alligator lizard,Elgaria multicarinata
Ensatina,Ensatina eschscholtzii
Long-nosed leopard lizard,Gambelia wislizenii
Night snake,Hypsiglena torquata
Common kingsnake,Lampropeltis getula
California mountain kingsnake,Lampropeltis zonata
American bullfrog,Lithobates catesbeianus
Northern leopard frog,Lithobates pipiens
Striped whipsnake,Masticophis taeniatus
Pygmy short-horned lizard,Phrynosoma douglasii
Desert horned lizard,Phrynosoma platyrhinos
Gopher snake,Pituophis catenifer
Western skink,Plestiodon skiltonianus
Dunn's salamander,Plethodon dunni
Del Norte salamander,Plethodon elongatus
Larch Mountain salamander,Plethodon larselli
Siskiyou Mountains salamander,Plethodon stormi
Western red-backed salamander,Plethodon vehiculum
Pacific treefrog,Pseudacris regilla
Northern red-legged frog,Rana aurora
Foothill yellow-legged frog,Rana boylii
Cascades frog,Rana cascadae
Columbia spotted frog,Rana luteiventris
Oregon spotted frog,Rana pretiosa
Cascade torrent salamander,Rhyacotriton cascadae
Columbia torrent salamander,Rhyacotriton kezeri
Southern torrent salamander,Rhyacotriton variegatus
Sagebrush lizard,Sceloporus graciosus
Western fence lizard,Sceloporus occidentalis
Western ground snake,Sonora semiannulata
Great Basin spadefoot,Spea intermontana
Rough-skinned newt,Taricha granulosa
Aquatic garter snake,Thamnophis atratus
Western terrestrial garter snake,Thamnophis elegans
Northwestern garter snake,Thamnophis ordinoides
Common garter snake,Thamnophis sirtalis
Red-eared slider ,Trachemys scripta
Side-blotched lizard,Uta stansburiana
